City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,phan thiet,10.9333,108.1,299.84,84,45,6.25,VN,1682610045.1466084
226,berdyansk,46.7503,36.7944,288.05,66,94,1.31,UA,1682610045.1994705
227,afaahiti,-17.75,-149.2833,297.08,82,63,5.22,PF,1682610045.2416985
228,joshimath,30.5667,79.5667,284.54,83,89,2.29,IN,1682610045.3340354
229,gandu,-13.7439,-39.4867,304.22,48,43,2.58,BR,1682610045.3632388
230,tura,25.5198,90.2201,298.93,38,97,1.88,IN,1682610045.4136887
231,assai,-23.3733,-50.8414,297.07,60,8,3.36,BR,1682610045.448888
232,igrim,63.1906,64.4162,273.2,96,98,3.98,RU,1682610045.4994268
233,ballina,-28.8667,153.5667,290.25,81,53,1.71,AU,1682610045.5485868
234,hawaiian paradise park,19.5933,-154.9731,294.84,88,100,2.06,US,1682610045.5971835
235,eureka,40.8021,-124.1637,284.49,73,52,2.28,US,1682610045.6336048
236,ouro preto do oeste,-10.7481,-62.2158,300.92,85,25,1.27,BR,1682610045.7387636
237,suva,-18.1416,178.4415,296.86,100,20,2.06,FJ,1682610045.784533
238,vredendal,-31.6683,18.5012,291.81,77,85,3.21,ZA,1682610045.8162649
239,vadso,70.0744,29.7487,279.64,75,0,7.72,NO,1682610045.8631945
240,malpe,13.35,74.7167,303.76,71,13,2.13,IN,1682610045.9103804
241,coahuayana de hidalgo,18.7,-103.6583,302.45,37,97,2.0,MX,1682610045.9439085
242,vernon,50.2581,-119.2691,286.27,34,70,2.24,CA,1682610045.9930093
243,raduzhnyy,62.0961,77.475,273.78,99,100,3.06,RU,1682610046.0409024
244,prince george,53.9166,-122.753,275.84,60,0,4.12,CA,1682610046.083747
245,sabha,27.0377,14.4283,307.18,8,0,5.23,LY,1682610046.1281946
246,chayan,43.0297,69.3772,290.35,36,0,3.23,KZ,1682610046.164626
247,newcastle,-32.9272,151.7765,291.36,88,0,2.57,AU,1682610046.2160468
248,pingliang,35.5392,106.6861,283.69,48,99,3.36,CN,1682610046.2526827
249,qarqaraly,49.4058,75.4742,287.56,32,30,1.37,KZ,1682610046.3083212
250,igarka,67.4667,86.5833,266.86,93,100,1.2,RU,1682610046.3445082
251,kudahuvadhoo,2.6708,72.8944,302.32,73,98,2.58,MV,1682610046.3922367
252,codrington,-38.2667,141.9667,288.58,84,14,5.72,AU,1682610046.4404864
253,topchikha,52.8192,83.1185,285.99,65,100,5.73,RU,1682610046.4782016
254,caucete,-31.6518,-68.2811,299.45,30,1,0.93,AR,1682610046.5117953
255,san antonio de pale,-1.4014,5.6325,301.47,70,98,0.75,GQ,1682610046.5578556
256,iwanai,42.9744,140.5089,280.92,65,11,5.6,JP,1682610046.5930564
257,valle hermoso,25.6667,-97.8333,300.07,74,98,0.94,MX,1682610046.6445546
258,dakhla,23.6848,-15.958,295.16,68,14,7.2,EH,1682610046.6922176
259,nyurba,63.2842,118.3319,267.24,99,93,1.7,RU,1682610046.7847812
260,fortuna,40.5982,-124.1573,284.34,64,64,1.85,US,1682610046.8310537
261,baalbek,34.0058,36.2181,286.45,44,2,4.81,LB,1682610046.8659222
262,alesund,62.4723,6.1549,280.79,73,75,5.66,NO,1682610046.9156992
263,xinyuan,37.3,99.0,270.64,21,4,3.83,CN,1682610046.9653735
264,pemangkat,1.1667,108.9667,300.33,80,100,0.86,ID,1682610047.0126455
265,san patricio,28.017,-97.5169,296.07,83,85,6.25,US,1682610047.0793557
266,constantia,44.1833,28.65,286.53,54,100,8.6,RO,1682610047.1222858
267,aktau,43.65,51.2,290.47,75,24,1.81,KZ,1682610047.1724646
268,villa gesell,-37.2639,-56.973,290.96,63,35,2.63,AR,1682610047.2783747
269,palikir - national government center,6.9248,158.1611,299.56,83,100,3.6,FM,1682610047.3211114
270,weno,7.4515,151.8468,299.12,100,100,1.54,FM,1682610047.4324462
271,ebaye,8.7748,167.7392,299.16,89,40,4.12,MH,1682610047.4783742
272,lihue,21.9789,-159.3672,292.73,82,0,4.12,US,1682610047.5174973
273,broome,42.2506,-75.833,285.48,66,75,2.57,US,1682610047.5666327
274,akureyri,65.6835,-18.0878,274.11,47,40,3.09,IS,1682610047.7496693
275,illizi,26.4833,8.4667,310.04,9,13,6.18,DZ,1682610047.8387072
276,port blair,11.6667,92.75,302.02,76,42,2.31,IN,1682610047.8714106
277,solleftea,63.1667,17.2667,275.41,93,100,1.39,SE,1682610047.9300258
278,zarghun shahr,32.8473,68.4457,288.3,49,30,8.64,AF,1682610047.9784625
279,vaughan,43.8361,-79.4983,284.19,53,18,0.45,CA,1682610048.0109344
280,tolanaro,-25.0319,46.9987,296.19,88,40,3.09,MG,1682610048.0580173
281,la passe,45.5549,-0.8967,295.38,80,100,3.99,FR,1682610048.1053348
282,kruisfontein,-34.0033,24.7314,293.09,80,6,8.32,ZA,1682610048.1485846
283,lorengau,-2.0226,147.2712,300.41,80,88,0.65,PG,1682610048.194772
284,bodo,67.28,14.405,279.79,89,75,4.12,NO,1682610048.2376769
285,marsh harbour,26.5412,-77.0636,298.0,73,8,4.2,BS,1682610048.285848
286,fonte boa,-2.4959,-66.2662,303.29,63,87,1.46,BR,1682610048.3875318
287,sitangkai,4.6628,119.3928,302.04,70,100,2.12,PH,1682610048.4302878
288,koppies,-27.2418,27.5742,295.17,46,88,3.55,ZA,1682610048.4728425
289,sao desiderio,-12.3633,-44.9733,307.07,28,4,1.65,BR,1682610048.508343
290,schonkirchen,54.3333,10.2333,282.47,70,20,4.63,DE,1682610048.5568817
291,novo aripuana,-5.1206,-60.3797,304.02,65,66,0.85,BR,1682610048.6095164
292,dukhan,25.4297,50.7858,299.98,46,0,4.28,QA,1682610048.662516
293,chipinge,-20.1883,32.6236,290.51,78,2,2.91,ZW,1682610048.6941404
294,sibolga,1.7427,98.7792,298.4,91,100,0.74,ID,1682610048.7418456
295,altay,47.8667,88.1167,281.03,41,99,3.7,CN,1682610048.787787
296,yaiza,28.9633,-13.7631,294.02,83,20,4.63,ES,1682610048.8282251
297,okahandja,-21.9833,16.9167,300.1,32,96,5.52,NA,1682610048.8738706
298,rio grande,-32.035,-52.0986,297.21,61,4,3.71,BR,1682610048.9142327
299,siwa oasis,29.2041,25.5195,303.06,17,0,8.41,EG,1682610048.9669518
300,bandrele,-12.9067,45.1914,302.01,79,0,2.06,YT,1682610049.012953
301,atafu village,-8.5421,-172.5159,301.77,74,84,4.28,TK,1682610049.0533173
302,magadan,59.5667,150.8,270.5,78,4,4.0,RU,1682610049.0912366
303,kindu,-2.95,25.95,298.12,85,96,1.27,CD,1682610049.1329253
304,hargeysa,9.56,44.065,294.11,77,100,6.11,SO,1682610049.175013
305,segezha,63.7415,34.3222,277.22,85,100,4.93,RU,1682610049.2387202
306,alta,69.9689,23.2717,281.74,46,0,5.14,NO,1682610049.2892847
307,tucumcari,35.1717,-103.725,286.45,66,0,3.6,US,1682610049.3313107
308,birobidzhan,48.8,132.95,277.76,40,89,2.25,RU,1682610049.3716676
309,gazli,40.1333,63.45,298.53,11,1,4.88,UZ,1682610049.4166324
310,krems an der donau,48.4092,15.6142,288.96,43,78,1.21,AT,1682610049.4602368
311,puerto baquerizo moreno,-0.9,-89.6,300.7,78,40,2.06,EC,1682610049.5070412
312,singarayakonda,15.25,80.0333,302.14,80,48,5.16,IN,1682610049.5464954
313,macae,-22.3708,-41.7869,303.01,66,20,5.66,BR,1682610049.5816941
314,zhigalovo,54.8097,105.1578,269.83,96,81,1.42,RU,1682610049.628803
315,nova vicosa,-17.8919,-39.3719,302.31,62,1,3.49,BR,1682610049.73165
316,porto novo,6.4965,2.6036,299.05,66,100,4.49,BJ,1682610049.780086
317,bontang,0.1333,117.5,300.25,83,90,3.99,ID,1682610049.811695
318,belokurikha,51.9959,84.9896,284.8,72,100,4.06,RU,1682610049.8619385
319,tabou,4.423,-7.3528,302.46,70,84,4.25,CI,1682610049.9073796
320,xilin hot,43.9667,116.0333,279.85,17,89,1.05,CN,1682610049.9573746
321,gateway,26.5776,-81.7504,303.15,66,0,4.63,US,1682610049.9955306
322,orcutt,34.8653,-120.436,282.72,100,100,0.0,US,1682610050.0428073
323,golfito,8.639,-83.166,303.32,65,29,1.66,CR,1682610050.0782125
324,sitka,57.0531,-135.33,278.09,81,100,5.14,US,1682610050.123488
325,aneho,6.2333,1.6,301.26,70,99,6.74,TG,1682610050.1624675
326,tambopata,-12.7333,-69.1833,301.09,74,20,1.54,PE,1682610050.2134385
327,longquan,24.6719,102.1613,290.11,61,4,2.13,CN,1682610050.260436
328,dunedin,-45.8742,170.5036,283.6,79,0,0.45,NZ,1682610050.3067937
329,luderitz,-26.6481,15.1594,291.67,64,1,5.96,NA,1682610050.3567212
330,paros,37.0833,25.15,290.54,62,20,10.8,GR,1682610050.3968158
